iteration,type,operator_id,weight
183,destroy,2,2
183,repair,0,1.4
183,repair,1,2.3
184,destroy,0,1.7
184,destroy,1,2.1
184,destroy,2,2
184,repair,0,1.4
184,repair,1,2.3
185,destroy,0,1.7
185,destroy,1,2.1
185,destroy,2,2
185,repair,0,1.4
185,repair,1,2.3
186,destroy,0,1.7
186,destroy,1,2.1
186,destroy,2,2
186,repair,0,1.4
186,repair,1,2.3
187,destroy,0,1.7
187,destroy,1,2.1
187,destroy,2,2
187,repair,0,1.4
187,repair,1,2.3
188,destroy,0,1.7
188,destroy,1,2.1
188,destroy,2,2
188,repair,0,1.4
188,repair,1,2.3
189,destroy,0,1.7
189,destroy,1,2.1
189,destroy,2,2
189,repair,0,1.4
189,repair,1,2.3
190,destroy,0,1.7
190,destroy,1,2.1
190,destroy,2,2
190,repair,0,1.4
190,repair,1,2.3
191,destroy,0,1.7
191,destroy,1,2.1
191,destroy,2,2
191,repair,0,1.4
191,repair,1,2.3
192,destroy,0,1.7
192,destroy,1,2.1
192,destroy,2,2
192,repair,0,1.4
192,repair,1,2.3
193,destroy,0,1.7
193,destroy,1,2.1
193,destroy,2,2
193,repair,0,1.4
193,repair,1,2.3
194,destroy,0,1.7
194,destroy,1,2.1
194,destroy,2,2
194,repair,0,1.4
194,repair,1,2.3
195,destroy,0,1.7
195,destroy,1,2.1
195,destroy,2,2
195,repair,0,1.4
195,repair,1,2.3
196,destroy,0,1.7
196,destroy,1,2.1
196,destroy,2,2
196,repair,0,1.4
196,repair,1,2.3
197,destroy,0,1.7
197,destroy,1,2.1
197,destroy,2,2
197,repair,0,1.4
197,repair,1,2.3
198,destroy,0,1.7
198,destroy,1,2.1
198,destroy,2,2
198,repair,0,1.4
198,repair,1,2.3
199,destroy,0,1.7
199,destroy,1,2.1
199,destroy,2,2
199,repair,0,1.4
199,repair,1,2.3
200,destroy,0,2.13
200,destroy,1,2.49
200,destroy,2,2.2
200,repair,0,1.56
200,repair,1,2.67
201,destroy,0,2.13
201,destroy,1,2.49
201,destroy,2,2.2
201,repair,0,1.56
201,repair,1,2.67
202,destroy,0,2.13
202,destroy,1,2.49
202,destroy,2,2.2
202,repair,0,1.56
202,repair,1,2.67
203,destroy,0,2.13
203,destroy,1,2.49
203,destroy,2,2.2
203,repair,0,1.56
203,repair,1,2.67
204,destroy,0,2.13
204,destroy,1,2.49
204,destroy,2,2.2
204,repair,0,1.56
204,repair,1,2.67
205,destroy,0,2.13
205,destroy,1,2.49
205,destroy,2,2.2
205,repair,0,1.56
205,repair,1,2.67
206,destroy,0,2.13
206,destroy,1,2.49
206,destroy,2,2.2
206,repair,0,1.56
206,repair,1,2.67
207,destroy,0,2.13
207,destroy,1,2.49
207,destroy,2,2.2
207,repair,0,1.56
207,repair,1,2.67
208,destroy,0,2.13
208,destroy,1,2.49
208,destroy,2,2.2
208,repair,0,1.56
208,repair,1,2.67
209,destroy,0,2.13
209,destroy,1,2.49
209,destroy,2,2.2
209,repair,0,1.56
209,repair,1,2.67
210,destroy,0,2.13
210,destroy,1,2.49
210,destroy,2,2.2
210,repair,0,1.56
210,repair,1,2.67
211,destroy,0,2.13
211,destroy,1,2.49
211,destroy,2,2.2
211,repair,0,1.56
211,repair,1,2.67
212,destroy,0,2.13
212,destroy,1,2.49
212,destroy,2,2.2
212,repair,0,1.56
212,repair,1,2.67
213,destroy,0,2.13
213,destroy,1,2.49
213,destroy,2,2.2
213,repair,0,1.56
213,repair,1,2.67
214,destroy,0,2.13
214,destroy,1,2.49
214,destroy,2,2.2
214,repair,0,1.56
214,repair,1,2.67
215,destroy,0,2.13
215,destroy,1,2.49
215,destroy,2,2.2
215,repair,0,1.56
215,repair,1,2.67
216,destroy,0,2.13
216,destroy,1,2.49
216,destroy,2,2.2
216,repair,0,1.56
216,repair,1,2.67
217,destroy,0,2.13
217,destroy,1,2.49
217,destroy,2,2.2
217,repair,0,1.56
217,repair,1,2.67
218,destroy,0,2.13
218,destroy,1,2.49
218,destroy,2,2.2
218,repair,0,1.56
218,repair,1,2.67
219,destroy,0,2.13
219,destroy,1,2.49
219,destroy,2,2.2
219,repair,0,1.56
219,repair,1,2.67
220,destroy,0,2.13
220,destroy,1,2.49
220,destroy,2,2.2
220,repair,0,1.56
220,repair,1,2.67
221,destroy,0,2.13
221,destroy,1,2.49
221,destroy,2,2.2
221,repair,0,1.56
221,repair,1,2.67
222,destroy,0,2.13
222,destroy,1,2.49
222,destroy,2,2.2
222,repair,0,1.56
222,repair,1,2.67
223,destroy,0,2.13
223,destroy,1,2.49
223,destroy,2,2.2
223,repair,0,1.56
223,repair,1,2.67
224,destroy,0,2.13
224,destroy,1,2.49
224,destroy,2,2.2
224,repair,0,1.56
224,repair,1,2.67
225,destroy,0,2.13
225,destroy,1,2.49
225,destroy,2,2.2
225,repair,0,1.56
225,repair,1,2.67
226,destroy,0,2.13
226,destroy,1,2.49
226,destroy,2,2.2
226,repair,0,1.56
226,repair,1,2.67
227,destroy,0,2.13
227,destroy,1,2.49
227,destroy,2,2.2
227,repair,0,1.56
227,repair,1,2.67
228,destroy,0,2.13
228,destroy,1,2.49
228,destroy,2,2.2
228,repair,0,1.56
228,repair,1,2.67
229,destroy,0,2.13
229,destroy,1,2.49
229,destroy,2,2.2
229,repair,0,1.56
229,repair,1,2.67
230,destroy,0,2.13
230,destroy,1,2.49
230,destroy,2,2.2
230,repair,0,1.56
230,repair,1,2.67
231,destroy,0,2.13
231,destroy,1,2.49
231,destroy,2,2.2
231,repair,0,1.56
231,repair,1,2.67
232,destroy,0,2.13
232,destroy,1,2.49
232,destroy,2,2.2
232,repair,0,1.56
232,repair,1,2.67
233,destroy,0,2.13
233,destroy,1,2.49
233,destroy,2,2.2
233,repair,0,1.56
233,repair,1,2.67
234,destroy,0,2.13
234,destroy,1,2.49
234,destroy,2,2.2
234,repair,0,1.56
234,repair,1,2.67
235,destroy,0,2.13
235,destroy,1,2.49
235,destroy,2,2.2
235,repair,0,1.56
235,repair,1,2.67
236,destroy,0,2.13
236,destroy,1,2.49
236,destroy,2,2.2
236,repair,0,1.56
236,repair,1,2.67
237,destroy,0,2.13
237,destroy,1,2.49
237,destroy,2,2.2
237,repair,0,1.56
237,repair,1,2.67
238,destroy,0,2.13
238,destroy,1,2.49
238,destroy,2,2.2
238,repair,0,1.56
238,repair,1,2.67
239,destroy,0,2.13
239,destroy,1,2.49
239,destroy,2,2.2
239,repair,0,1.56
239,repair,1,2.67
240,destroy,0,2.13
240,destroy,1,2.49
240,destroy,2,2.2
240,repair,0,1.56
240,repair,1,2.67
241,destroy,0,2.13
241,destroy,1,2.49
241,destroy,2,2.2
241,repair,0,1.56
241,repair,1,2.67
242,destroy,0,2.13
242,destroy,1,2.49
242,destroy,2,2.2
242,repair,0,1.56
242,repair,1,2.67
243,destroy,0,2.13
243,destroy,1,2.49
243,destroy,2,2.2
243,repair,0,1.56
243,repair,1,2.67
244,destroy,0,2.13
244,destroy,1,2.49
244,destroy,2,2.2
244,repair,0,1.56
244,repair,1,2.67
245,destroy,0,2.13
245,destroy,1,2.49
245,destroy,2,2.2
245,repair,0,1.56
245,repair,1,2.67
246,destroy,0,2.13
246,destroy,1,2.49
246,destroy,2,2.2
246,repair,0,1.56
246,repair,1,2.67
247,destroy,0,2.13
247,destroy,1,2.49
247,destroy,2,2.2
247,repair,0,1.56
247,repair,1,2.67
248,destroy,0,2.13
248,destroy,1,2.49
248,destroy,2,2.2
248,repair,0,1.56
248,repair,1,2.67
249,destroy,0,2.13
249,destroy,1,2.49
249,destroy,2,2.2
249,repair,0,1.56
249,repair,1,2.67
250,destroy,0,2.13
250,destroy,1,2.49
250,destroy,2,2.2
250,repair,0,1.56
250,repair,1,2.67
251,destroy,0,2.13
251,destroy,1,2.49
251,destroy,2,2.2
251,repair,0,1.56
251,repair,1,2.67
252,destroy,0,2.13
252,destroy,1,2.49
252,destroy,2,2.2
252,repair,0,1.56
252,repair,1,2.67
253,destroy,0,2.13
253,destroy,1,2.49
253,destroy,2,2.2
253,repair,0,1.56
253,repair,1,2.67
254,destroy,0,2.13
254,destroy,1,2.49
254,destroy,2,2.2
254,repair,0,1.56
254,repair,1,2.67
255,destroy,0,2.13
255,destroy,1,2.49
255,destroy,2,2.2
255,repair,0,1.56
255,repair,1,2.67
256,destroy,0,2.13
256,destroy,1,2.49
256,destroy,2,2.2
256,repair,0,1.56
256,repair,1,2.67
257,destroy,0,2.13
257,destroy,1,2.49
257,destroy,2,2.2
257,repair,0,1.56
257,repair,1,2.67
258,destroy,0,2.13
258,destroy,1,2.49
258,destroy,2,2.2
258,repair,0,1.56
258,repair,1,2.67
259,destroy,0,2.13
259,destroy,1,2.49
259,destroy,2,2.2
259,repair,0,1.56
259,repair,1,2.67
260,destroy,0,2.13
260,destroy,1,2.49
260,destroy,2,2.2
260,repair,0,1.56
